model_date,DEM_win,REP_win
2024-10-04,0.5424,0.4539
2024-10-03,0.5602,0.4364
2024-10-02,0.5769,0.4194
2024-10-01,0.5496,0.4466
2024-09-30,0.5681,0.4278
2024-09-29,0.5879,0.4089
2024-09-28,0.5793,0.4169
2024-09-27,0.5684,0.428
2024-09-26,0.5859,0.41
2024-09-25,0.5546,0.4412
2024-09-24,0.5455,0.4504
2024-09-23,0.5734,0.4231
2024-09-22,0.6159,0.3802
2024-09-21,0.6009,0.3954
2024-09-20,0.6,0.3963
2024-09-19,0.6009,0.396
2024-09-18,0.6408,0.3555
2024-09-17,0.6165,0.3797
2024-09-16,0.61,0.3864
2024-09-15,0.5954,0.4
2024-09-14,0.5819,0.4135
2024-09-13,0.5936,0.4018
2024-09-12,0.5456,0.4496
2024-09-11,0.5427,0.4527
2024-09-10,0.5457,0.4504
2024-09-09,0.5504,0.4452
2024-09-08,0.5332,0.4618
2024-09-07,0.5491,0.4465
2024-09-06,0.5546,0.441
2024-09-05,0.5713,0.4244
2024-09-04,0.5543,0.4416
2024-09-03,0.5598,0.4358
2024-09-02,0.5665,0.4294
2024-09-01,0.5486,0.4466
2024-08-31,0.5651,0.4299
2024-08-30,0.5562,0.4399
2024-08-29,0.582,0.4142
2024-08-28,0.5938,0.4022
2024-08-27,0.586,0.4099
2024-08-26,0.5952,0.4008
2024-08-25,0.6001,0.3956
2024-08-24,0.5867,0.4084
2024-08-23,0.582,0.4138
2024-08-22,0.5835,0.4126
2024-08-21,0.5793,0.4166
2024-08-20,0.5562,0.4396
2024-08-19,0.5556,0.4404
2024-08-18,0.5418,0.4534
2024-08-17,0.5353,0.4604
2024-08-16,0.5405,0.4556
2024-08-15,0.5558,0.4405
2024-08-14,0.5524,0.4438
2024-08-13,0.5467,0.4491
2024-08-12,0.5504,0.4451
2024-08-11,0.5279,0.4691
2024-08-10,0.5225,0.4735
2024-08-09,0.5202,0.4758
2024-08-08,0.514,0.4821
2024-08-07,0.4942,0.5023
2024-08-06,0.4884,0.5082
2024-08-05,0.4952,0.5013
2024-08-04,0.4865,0.5098
2024-08-03,0.4837,0.513
2024-08-02,0.4835,0.5134
2024-08-01,0.4732,0.5224
2024-07-31,0.4733,0.5236
2024-07-30,0.4851,0.5113
2024-07-29,0.4589,0.5375
2024-07-28,0.4657,0.5304
2024-07-27,0.4643,0.5323
2024-07-26,0.4676,0.5281
